Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet1       10.0.90.3       YES NVRAM  up                    up      
GigabitEthernet2       unassigned      YES NVRAM  up                    up      
GigabitEthernet2.3023  unassigned      YES NVRAM  deleted               down    
GigabitEthernet2.3034  10.3.4.3        YES NVRAM  up                    up      
GigabitEthernet2.3037  unassigned      YES NVRAM  deleted               down    
GigabitEthernet2.3311  unassigned      YES unset  up                    up      
Gi2.3777023            10.2.3.3        YES TFTP   up                    up      
Gi2.3888311            10.3.11.3       YES TFTP   up                    up      
GigabitEthernet3       unassigned      YES NVRAM  up                    up      
GigabitEthernet4       unassigned      YES NVRAM  up                    up      
GigabitEthernet5       unassigned      YES NVRAM  up                    up      
GigabitEthernet6       unassigned      YES NVRAM  up                    up      
GigabitEthernet7       unassigned      YES NVRAM  up                    up      
Loopback0              10.0.0.3        YES NVRAM  up                    up
