Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet1       10.0.90.7       YES NVRAM  up                    up      
GigabitEthernet2       unassigned      YES NVRAM  up                    up      
GigabitEthernet2.3027  10.2.7.7        YES TFTP   up                    up      
GigabitEthernet2.3037  unassigned      YES NVRAM  deleted               down    
GigabitEthernet2.3057  unassigned      YES TFTP   deleted               down    
GigabitEthernet2.3067  10.6.7.7        YES NVRAM  up                    up      
GigabitEthernet2.3078  unassigned      YES NVRAM  deleted               down    
GigabitEthernet3       unassigned      YES NVRAM  up                    up      
GigabitEthernet4       unassigned      YES NVRAM  up                    up      
GigabitEthernet5       unassigned      YES NVRAM  up                    up      
GigabitEthernet6       unassigned      YES NVRAM  up                    up      
GigabitEthernet7       unassigned      YES NVRAM  up                    up      
Loopback0              10.0.0.7        YES NVRAM  up                    up
