Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet1       10.0.90.1       YES NVRAM  up                    up      
GigabitEthernet2       unassigned      YES NVRAM  up                    up      
GigabitEthernet2.3012  172.16.12.1     YES NVRAM  up                    up      
GigabitEthernet2.3018  172.16.18.1     YES NVRAM  up                    up      
GigabitEthernet2.3121  172.16.121.1    YES NVRAM  up                    up      
GigabitEthernet2.3131  172.16.131.1    YES NVRAM  up                    up      
GigabitEthernet3       unassigned      YES NVRAM  up                    up      
Gi3.3999014            192.168.45.4    YES NVRAM  up                    up      
Gi3.3999015            unassigned      YES unset  up                    up      
GigabitEthernet4       unassigned      YES NVRAM  up                    up      
Gi4.3999015            192.168.45.5    YES NVRAM  up                    up      
GigabitEthernet5       unassigned      YES NVRAM  up                    up      
GigabitEthernet6       unassigned      YES NVRAM  up                    up      
GigabitEthernet7       unassigned      YES NVRAM  up                    up      
Loopback1              192.168.0.1     YES NVRAM  up                    up      
Loopback2              192.168.0.2     YES NVRAM  up                    up      
Loopback3              192.168.0.3     YES NVRAM  up                    up      
Loopback4              192.168.0.4     YES NVRAM  up                    up
