Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet1       10.0.90.1       YES NVRAM  up                    up      
GigabitEthernet2       unassigned      YES NVRAM  up                    up      
GigabitEthernet2.3015  unassigned      YES NVRAM  deleted               down    
GigabitEthernet2.3111  unassigned      YES NVRAM  deleted               down    
GigabitEthernet2.3121  172.16.121.1    YES manual up                    up      
GigabitEthernet2.3182  unassigned      YES TFTP   deleted               down    
GigabitEthernet2.3183  unassigned      YES TFTP   deleted               down    
GigabitEthernet3       unassigned      YES NVRAM  up                    up      
Gi3.3999149            unassigned      YES NVRAM  deleted               down    
GigabitEthernet4       unassigned      YES NVRAM  up                    up      
Gi4.3999249            unassigned      YES NVRAM  deleted               down    
GigabitEthernet5       unassigned      YES NVRAM  up                    up      
GigabitEthernet6       unassigned      YES NVRAM  up                    up      
GigabitEthernet7       unassigned      YES NVRAM  up                    up      
Loopback0              192.168.0.1     YES manual up                    up
