Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet1       10.0.90.10      YES NVRAM  up                    up      
GigabitEthernet2       unassigned      YES NVRAM  up                    up      
GigabitEthernet2.3046  10.10.46.10     YES TFTP   up                    up      
GigabitEthernet2.3103  172.16.103.6    YES TFTP   up                    up      
GigabitEthernet2.3110  unassigned      YES TFTP   deleted               down    
GigabitEthernet2.3113  unassigned      YES NVRAM  deleted               down    
GigabitEthernet2.3198  unassigned      YES manual deleted               down    
GigabitEthernet2.3410  unassigned      YES TFTP   deleted               down    
GigabitEthernet2.3810  unassigned      YES TFTP   deleted               down    
GigabitEthernet2.3910  unassigned      YES TFTP   deleted               down    
GigabitEthernet3       unassigned      YES NVRAM  up                    up      
GigabitEthernet4       unassigned      YES NVRAM  up                    up      
GigabitEthernet5       unassigned      YES NVRAM  up                    up      
GigabitEthernet6       unassigned      YES NVRAM  up                    up      
GigabitEthernet7       unassigned      YES NVRAM  up                    up      
Loopback0              10.0.0.10       YES NVRAM  up                    up      
Loopback198            198.51.100.10   YES manual up                    up
