Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet1       10.0.90.2       YES NVRAM  up                    up      
GigabitEthernet2       unassigned      YES NVRAM  up                    up      
GigabitEthernet2.3012  172.16.12.2     YES NVRAM  up                    up      
GigabitEthernet2.3023  10.2.3.2        YES NVRAM  up                    up      
GigabitEthernet2.3025  10.2.5.2        YES NVRAM  up                    up      
GigabitEthernet2.3026  10.2.6.2        YES NVRAM  up                    up      
GigabitEthernet3       unassigned      YES NVRAM  up                    up      
GigabitEthernet4       unassigned      YES NVRAM  up                    up      
GigabitEthernet5       unassigned      YES NVRAM  up                    up      
GigabitEthernet6       unassigned      YES NVRAM  up                    up      
GigabitEthernet7       unassigned      YES NVRAM  up                    up      
Loopback0              10.0.0.2        YES NVRAM  up                    up      
MPLS-SR-Tunnel1        10.2.6.2        YES unset  up                    up      
MPLS-SR-Tunnel2        10.2.6.2        YES unset  up                    up      
MPLS-SR-Tunnel3        10.2.5.2        YES unset  up                    up      
Tunnel27               10.0.0.2        YES TFTP   up                    up      
Tunnel213              10.0.0.2        YES TFTP   up                    up
