Interface                      IP-Address      Status          Protocol Vrf-Name
Loopback0                      10.0.0.12       Up              Up       default 
tunnel-te128                   10.0.0.12       Up              Up       default 
tunnel-te812                   10.0.0.12       Up              Up       default 
MgmtEth0/0/CPU0/0              10.0.90.12      Up              Up       MGMT    
GigabitEthernet0/0/0/0         unassigned      Up              Up       default 
GigabitEthernet0/0/0/0.3112    10.11.12.12     Up              Up       default 
GigabitEthernet0/0/0/0.3121    172.16.121.12   Up              Up       L3D     
GigabitEthernet0/0/0/0.3213    10.12.13.12     Up              Up       default 
GigabitEthernet0/0/0/0.3412    10.4.12.12      Up              Up       default 
GigabitEthernet0/0/0/1         unassigned      Shutdown        Down     default 
GigabitEthernet0/0/0/2         unassigned      Shutdown        Down     default 
GigabitEthernet0/0/0/3         unassigned      Shutdown        Down     default 
GigabitEthernet0/0/0/4         unassigned      Shutdown        Down     default 
GigabitEthernet0/0/0/5         unassigned      Shutdown        Down     default 
GigabitEthernet0/0/0/6         unassigned      Shutdown        Down     default
