Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet1       10.0.90.7       YES NVRAM  up                    up      
GigabitEthernet2       unassigned      YES NVRAM  up                    up      
GigabitEthernet2.3017  172.16.101.7    YES TFTP   up                    up      
GigabitEthernet2.3037  unassigned      YES NVRAM  deleted               down    
GigabitEthernet2.3067  unassigned      YES NVRAM  deleted               down    
GigabitEthernet2.3078  unassigned      YES NVRAM  deleted               down    
Gi2.3017102            172.16.102.7    YES TFTP   up                    up      
Gi2.3017103            172.16.103.7    YES TFTP   up                    up      
Gi2.3017142            172.16.142.7    YES TFTP   up                    up      
GigabitEthernet3       unassigned      YES NVRAM  up                    up      
GigabitEthernet4       unassigned      YES NVRAM  up                    up      
GigabitEthernet5       unassigned      YES NVRAM  up                    up      
GigabitEthernet6       unassigned      YES NVRAM  up                    up      
GigabitEthernet7       unassigned      YES NVRAM  up                    up      
Loopback101            192.168.101.7   YES TFTP   up                    up      
Loopback102            192.168.102.7   YES TFTP   up                    up      
Loopback103            192.168.103.7   YES TFTP   up                    up      
Loopback142            192.168.142.7   YES TFTP   up                    up
