Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet1       10.0.90.4       YES NVRAM  up                    up      
GigabitEthernet2       unassigned      YES NVRAM  up                    up      
GigabitEthernet2.3014  172.16.14.4     YES manual up                    up      
GigabitEthernet2.3034  unassigned      YES NVRAM  deleted               down    
GigabitEthernet2.3045  10.4.5.4        YES manual up                    up      
GigabitEthernet2.3412  10.4.12.4       YES manual up                    up      
GigabitEthernet2.3413  10.4.13.4       YES manual up                    up      
GigabitEthernet3       unassigned      YES NVRAM  up                    up      
GigabitEthernet4       unassigned      YES NVRAM  up                    up      
GigabitEthernet5       unassigned      YES NVRAM  up                    up      
GigabitEthernet6       unassigned      YES NVRAM  up                    up      
GigabitEthernet7       unassigned      YES NVRAM  up                    up      
Loopback0              10.0.0.4        YES manual up                    up
