Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet1       10.0.90.10      YES NVRAM  up                    up      
GigabitEthernet2       unassigned      YES NVRAM  up                    up      
GigabitEthernet2.3110  unassigned      YES TFTP   deleted               down    
GigabitEthernet2.3113  unassigned      YES NVRAM  deleted               down    
GigabitEthernet2.3410  unassigned      YES TFTP   deleted               down    
GigabitEthernet2.3810  10.8.10.10      YES TFTP   up                    up      
GigabitEthernet2.3910  10.9.10.10      YES TFTP   up                    up      
GigabitEthernet3       unassigned      YES NVRAM  up                    up      
GigabitEthernet4       unassigned      YES NVRAM  up                    up      
GigabitEthernet5       unassigned      YES NVRAM  up                    up      
GigabitEthernet6       unassigned      YES NVRAM  up                    up      
GigabitEthernet7       unassigned      YES NVRAM  up                    up      
Loopback0              10.0.0.10       YES NVRAM  up                    up
