Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet1       10.0.90.4       YES NVRAM  up                    up      
GigabitEthernet2       unassigned      YES NVRAM  up                    up      
GigabitEthernet2.3024  10.2.4.4        YES TFTP   up                    up      
GigabitEthernet2.3046  10.10.46.4      YES TFTP   up                    up      
GigabitEthernet2.3411  unassigned      YES NVRAM  deleted               down    
GigabitEthernet2.3412  unassigned      YES NVRAM  deleted               down    
GigabitEthernet3       unassigned      YES NVRAM  up                    up      
GigabitEthernet4       unassigned      YES NVRAM  up                    up      
GigabitEthernet5       unassigned      YES NVRAM  up                    up      
GigabitEthernet6       unassigned      YES NVRAM  up                    up      
GigabitEthernet7       unassigned      YES NVRAM  up                    up      
Loopback0              10.0.0.4        YES NVRAM  up                    up
