Interface                      IP-Address      Status          Protocol Vrf-Name
Loopback0                      10.0.0.13       Up              Up       default 
MgmtEth0/0/CPU0/0              10.0.90.13      Up              Up       MGMT    
GigabitEthernet0/0/0/0         unassigned      Up              Up       default 
GigabitEthernet0/0/0/0.3113    10.1.13.13      Up              Up       default 
GigabitEthernet0/0/0/0.3134    10.13.14.13     Up              Up       default 
GigabitEthernet0/0/0/0.3213    10.2.13.13      Up              Up       default 
GigabitEthernet0/0/0/0.3313    10.3.13.13      Up              Up       default 
GigabitEthernet0/0/0/0.3413    10.4.13.13      Up              Up       default 
GigabitEthernet0/0/0/0.3613    10.6.13.13      Up              Up       default 
GigabitEthernet0/0/0/1         unassigned      Up              Up       default 
GigabitEthernet0/0/0/2         unassigned      Up              Up       default 
GigabitEthernet0/0/0/3         unassigned      Up              Up       default 
GigabitEthernet0/0/0/4         unassigned      Up              Up       default 
GigabitEthernet0/0/0/5         unassigned      Up              Up       default 
GigabitEthernet0/0/0/6         unassigned      Up              Up       default
