Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet1       10.0.90.8       YES NVRAM  up                    up      
GigabitEthernet2       unassigned      YES NVRAM  up                    up      
GigabitEthernet2.501   unassigned      YES NVRAM  deleted               down    
GigabitEthernet2.3078  unassigned      YES NVRAM  deleted               down    
GigabitEthernet2.3182  unassigned      YES NVRAM  deleted               down    
GigabitEthernet2.3183  unassigned      YES NVRAM  deleted               down    
GigabitEthernet2.3811  unassigned      YES NVRAM  deleted               down    
GigabitEthernet2.3812  unassigned      YES NVRAM  deleted               down    
Gi2.3048102            172.16.102.8    YES TFTP   up                    up      
Gi2.3048103            172.16.103.8    YES TFTP   up                    up      
Gi2.3048142            172.16.142.8    YES TFTP   up                    up      
GigabitEthernet3       unassigned      YES NVRAM  up                    up      
GigabitEthernet4       unassigned      YES NVRAM  up                    up      
GigabitEthernet5       unassigned      YES NVRAM  up                    up      
GigabitEthernet6       unassigned      YES NVRAM  up                    up      
GigabitEthernet7       unassigned      YES NVRAM  up                    up      
Loopback102            192.168.102.8   YES TFTP   up                    up      
Loopback103            192.168.103.8   YES TFTP   up                    up      
Loopback142            192.168.142.8   YES TFTP   up                    up
