Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet1       10.0.90.5       YES NVRAM  up                    up      
GigabitEthernet2       unassigned      YES NVRAM  up                    up      
GigabitEthernet2.3514  unassigned      YES NVRAM  deleted               down    
GigabitEthernet2.3534  unassigned      YES NVRAM  deleted               down    
Gi2.3035102            172.16.102.5    YES TFTP   up                    up      
Gi2.3035103            172.16.103.5    YES TFTP   up                    up      
Gi2.3035142            172.16.142.5    YES TFTP   up                    up      
GigabitEthernet3       unassigned      YES NVRAM  up                    up      
GigabitEthernet4       unassigned      YES NVRAM  up                    up      
GigabitEthernet5       unassigned      YES NVRAM  up                    up      
GigabitEthernet6       unassigned      YES NVRAM  up                    up      
GigabitEthernet7       unassigned      YES NVRAM  up                    up      
Loopback102            192.168.102.5   YES TFTP   up                    up      
Loopback103            192.168.103.5   YES TFTP   up                    up      
Loopback142            192.168.142.5   YES TFTP   up                    up
