Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet1       10.0.90.1       YES NVRAM  up                    up      
GigabitEthernet2       unassigned      YES NVRAM  up                    up      
GigabitEthernet2.3111  10.1.11.1       YES TFTP   up                    up      
GigabitEthernet2.3112  10.1.12.1       YES TFTP   up                    up      
GigabitEthernet2.3113  10.1.13.1       YES TFTP   up                    up      
GigabitEthernet2.3182  unassigned      YES NVRAM  deleted               down    
GigabitEthernet2.3183  unassigned      YES NVRAM  deleted               down    
GigabitEthernet3       unassigned      YES NVRAM  up                    up      
GigabitEthernet4       unassigned      YES NVRAM  up                    up      
GigabitEthernet5       unassigned      YES NVRAM  up                    up      
GigabitEthernet6       unassigned      YES NVRAM  up                    up      
GigabitEthernet7       unassigned      YES NVRAM  up                    up      
Loopback0              10.0.0.1        YES TFTP   up                    up      
Loopback42             10.0.42.1       YES manual up                    up
